ticker,filed,items,open,prior_dollars,d0,pk_d0,d1,pk_d1,d3,pk_d3,d5,pk_d5,d10,pk_d10
SMMT,2026-07-23 16:07:41-04:00,"2.02,7.01,9.01",13.720000267028809,48084609.65394974,-0.004373208341758472,0.05102039326831065,-0.04482512484131784,0.05102039326831065,-0.06705539784170722,0.05102039326831065,-0.06705539784170722,0.05102039326831065,-0.06705539784170722,0.05102039326831065
SMMT,2026-07-22 07:10:49-04:00,"8.01,9.01",14.729999542236328,44267795.405483246,0.016972166175780012,0.03394433235156025,-0.07264085051436264,0.03394433235156025,-0.14799724502710299,0.03394433235156025,-0.13102507885132286,0.03394433235156025,-0.13102507885132286,0.03394433235156025
SMG,2026-07-01 16:05:14-04:00,"5.02,9.01",68.4800033569336,55052999.14741516,0.005402965815568095,0.016939193572591993,-0.020443946513579614,0.016939193572591993,-0.0476051690482342,0.016939193572591993,-0.04380840906743688,0.016939193572591993,0.03650700755619751,0.10017512623650382
SMPL,2026-07-09 07:02:25-04:00,"2.02,9.01",12.829999923706055,28532822.58167267,-0.004676497762990728,0.013250200881126606,0.037412353761884676,0.04832423142992437,-0.07404519212114857,0.04832423142992437,-0.13639906550322856,0.04832423142992437,-0.20342943664829938,0.04832423142992437
SMCI,2026-07-21 16:10:55-04:00,"2.02,9.01",28.889999389648438,744906230.7295799,0.05780547288250637,0.11734162205843135,0.07995851236046447,0.12807202634504722,0.031844932354813116,0.12807202634504722,-0.11041878484261902,0.12807202634504722,-0.11041878484261902,0.12807202634504722
SNA,2026-07-23 06:31:34-04:00,"2.02,9.01",399.05999755859375,146057885.4598999,0.012679791483862779,0.016513798371692312,0.02094927058659435,0.021976617719956293,0.03951783969866929,0.054753686756857656,0.03951783969866929,0.054753686756857656,0.03951783969866929,0.054753686756857656
SMTC,2026-07-06 17:02:13-04:00,"1.01,2.03,9.01",130.0,559328341.5031433,-0.027692295954777624,0.012538499098557754,-0.008923105093149086,0.012538499098557754,0.047153883713942246,0.0740769606370193,0.08738462007962733,0.1384615384615384,0.06030766413762012,0.1384615384615384
SN,2026-07-13 06:02:33-04:00,8.01,152.6999969482422,212299881.4933777,-0.018402079991829967,4.586630202796371e-05,-0.017354249832647994,0.002455795726879373,0.011984295138361745,0.02727576049876146,-0.03195802044238094,0.02727576049876146,0.04675834664272149,0.047740724889423714
SMBC,2026-07-27 16:17:06-04:00,"7.01,9.01",77.80000305175781,6780675.200653076,0.013496084590957524,0.01670945207416552,0.006555199059525174,0.020436970122390097,0.006555199059525174,0.020436970122390097,0.006555199059525174,0.020436970122390097,0.006555199059525174,0.020436970122390097
SMBC,2026-07-22 17:07:03-04:00,"2.02,8.01,9.01",75.20999908447266,6615183.031082153,0.03337325045585149,0.036431297661526196,0.03217654831011596,0.05212070491508092,0.04839781191275039,0.05212070491508092,0.04121790336201592,0.05557772046348486,0.04121790336201592,0.05557772046348486
SNWV,2026-07-13 16:38:21-04:00,"2.02,9.01",13.0,1126471.0207939148,-0.07999999706561745,0.0,-0.44076923223642206,0.0,-0.5084615487318773,0.0,-0.5334615340599647,0.0,-0.510769220498892,0.0
SON,2026-07-22 16:44:59-04:00,"2.02,9.01",57.65999984741211,61693743.80912781,-0.02323968359580275,0.00017340134512067173,0.009885530633586992,0.016649307787255374,0.05029485836894376,0.05220253779914463,0.022892814747093038,0.05220253779914463,0.022892814747093038,0.05220253779914463
SND,2026-07-20 16:09:23-04:00,"7.01,8.01,9.01",4.739999771118164,1416456.022644043,0.03586499673054666,0.041139278708314464,0.016877722448569,0.06645571148332574,-0.016877621850007518,0.06645571148332574,-0.12869191690558823,0.06645571148332574,-0.1223628590111161,0.06645571148332574
SOLV,2026-07-20 16:15:25-04:00,5.02,77.4800033569336,69402626.3092041,0.014455279667812126,0.02278006341220018,0.002064997751455744,0.02278006341220018,0.006840458909833647,0.02278006341220018,0.11215790443346774,0.12558073446015583,0.14287557066598366,0.14416620656929435
SNDX,2026-07-14 08:30:27-04:00,"8.01,9.01",23.959999084472656,48773578.30581665,-0.018363883285543503,0.009808039204135754,-0.05217028579980476,0.018781334730145094,-0.06969942540722218,0.018781334730145094,-0.07971619033365862,0.018781334730145094,-0.19782971420019524,0.018781334730145094
SOTK,2026-07-08 07:10:15-04:00,"2.02,7.01,9.01",5.539999961853027,295667.9988384247,-0.0036101048852397177,0.005415200363704464,0.0,0.05415165935028621,-0.03610104885239751,0.05415165935028621,0.005415200363704464,0.05415165935028621,-0.05234656387182135,0.07039708829802005
SNX,2026-07-16 16:03:35-04:00,"5.02,9.01",239.47999572753906,218712821.12960815,0.013111739793167931,0.01983464207759611,-0.003925181468917849,0.031610186484349656,0.05511941366184114,0.05770839974434461,0.014364466772915696,0.06914987937540906,0.038416557175444455,0.07841996982266664
SNX,2026-07-02 16:10:58-04:00,"1.01,9.01",244.55999755859375,298594271.50268555,-0.023061823053449948,0.021753383126135173,-0.036350995577347,0.021753383126135173,0.02289829145984479,0.04264805380557557,0.02760058908809393,0.046491638987129935,-0.024615653960409545,0.05466959130952809
SPRO,2026-07-14 06:30:09-04:00,"1.01,2.03,7.01,8.01,9.01",1.7100000381469727,986680.9853315353,-0.005847947508874518,0.0,-0.08187133483727582,0.0,-0.15789472216567724,0.0,-0.25730996924260974,0.0,-0.30409354931360544,0.0
SPRB,2026-07-27 08:05:15-04:00,5.02,42.15999984741211,3038795.090866089,-0.013282765069207891,0.02675517922517301,-0.016840585556032406,0.02675517922517301,-0.016840585556032406,0.02675517922517301,-0.016840585556032406,0.02675517922517301,-0.016840585556032406,0.02675517922517301
SPH,2026-07-23 07:32:47-04:00,"7.01,8.01,9.01",18.309999465942383,2452560.519886017,0.013653741523314222,0.022392127764653047,0.0,0.022392127764653047,-0.00491535528197562,0.03167667616729797,-0.00491535528197562,0.03167667616729797,-0.00491535528197562,0.03167667616729797
SPH,2026-07-22 16:27:41-04:00,"7.01,8.01,9.01",18.719999313354492,2452560.519886017,-0.02029910121286793,0.0,-0.008547000709448138,0.0,0.0010684005607524139,0.008547000709448138,-0.026709402689096717,0.009081200989824234,-0.026709402689096717,0.009081200989824234
SPRY,2026-07-17 16:02:07-04:00,5.02,7.0,10966074.87976551,-0.07999999182564876,0.02014282771519249,-0.09142855235508507,0.02014282771519249,-0.1428571428571429,0.02014282771519249,-0.17714282444545204,0.02014282771519249,-0.1671428680419922,0.02014282771519249
SPRY,2026-07-07 16:38:54-04:00,5.02,7.599999904632568,12730686.12112999,0.06578953725149184,0.07105269019293403,0.03684213333182762,0.08684214901726062,0.018421035295047794,0.08684214901726062,-0.006578909805936672,0.08684214901726062,-0.20263157647072105,0.08684214901726062
SPOK,2026-07-22 16:30:30-04:00,5.07,10.649999618530273,1346330.9630393982,-0.01314548306695229,0.0028169659831074334,-0.0056337528724402786,0.006572831080363439,0.022535280130423274,0.036619751858411265,0.029108021663899475,0.036619751858411265,0.029108021663899475,0.036619751858411265
SOUN,2026-07-24 06:03:55-04:00,8.01,6.480000019073486,228138676.63578987,-0.01080249559495916,0.03858024680002159,-0.03703707519273092,0.03858024680002159,-0.12037040239389918,0.03858024680002159,-0.12037040239389918,0.03858024680002159,-0.12037040239389918,0.03858024680002159
SOUN,2026-07-13 17:20:16-04:00,9.01,6.40500020980835,185147204.24695015,0.04449646183862299,0.06947692119397053,0.014832129130327276,0.06947692119397053,-0.02107731841680538,0.06947692119397053,0.023419143421817612,0.06947692119397053,-0.025761191769753666,0.06947692119397053
SOUN,2026-07-02 17:14:19-04:00,"1.01,9.01",6.579999923706055,164041218.7286377,0.057750777940266396,0.07750763446735554,0.009118532443044058,0.07750763446735554,0.015197554071740171,0.07750763446735554,-0.013677834898393137,0.07750763446735554,-0.0410334322275252,0.07750763446735554
SPFI,2026-07-17 07:30:40-04:00,"2.02,7.01,8.01,9.01",46.02000045776367,6009763.983154297,-0.038896151623687536,0.010430237667573783,-0.04650150735249314,0.010430237667573783,-0.03846154802601853,0.010430237667573783,-0.03302912739339714,0.010430237667573783,-0.01999135103197014,0.010430237667573783
SRFM,2026-07-02 08:00:17-04:00,"7.01,8.01,9.01",1.0099999904632568,6903894.8625564575,-0.03960392300071269,0.025742597162063507,-0.09702969397204653,0.025742597162063507,-0.05940594351556927,0.025742597162063507,-0.15841581003185135,0.025742597162063507,-0.27623761079087217,0.025742597162063507
SOC,2026-07-13 17:22:44-04:00,"4.01,9.01",4.349999904632568,70546339.59450722,0.00919539373102718,0.05977016886941677,-0.04367817503124927,0.05977016886941677,0.0,0.05977016886941677,-0.03678157492410894,0.05977016886941677,-0.048275871896762856,0.10344834390066615
SOC,2026-07-02 16:51:49-04:00,"1.01,2.03,7.01,9.01",4.269999980926514,45896133.439445496,-0.07494143669137998,0.070257656223635,-0.009367672606955812,0.070257656223635,-0.030444991808339594,0.070257656223635,0.03747069042782347,0.070257656223635,-0.018735345213911736,0.07962532883059081
SR,2026-07-08 16:32:04-04:00,"7.01,9.01",79.69000244140625,59053920.752716064,0.011168269072432624,0.017819025291025525,0.0130505820512683,0.01907386869744432,0.02133262512436418,0.03902623309163844,0.028359824791041266,0.03902623309163844,0.03526160713396709,0.058476545237166944
SRCE,2026-07-23 16:08:24-04:00,"2.02,9.01",85.81999969482422,9281659.915161133,0.00023300679489057785,0.011419288748758749,0.011302740901333541,0.023421138934724306,0.05220232315153206,0.06571893975418619,0.05220232315153206,0.06571893975418619,0.05220232315153206,0.06571893975418619
