ticker,accession,band,verdict,impact,items,entry,cap,binary,ceiling,pre_vol,prior_dollars,6% target / 10% stop,no target / 10% stop,trail 15%,trail 20%,r_vol,r_illiq,r_cheap,r_binary,score
RMBI,0001628280-26-049841,micro,neutral,low,"2.02,9.01",15.454999923706055,136166999.15503407,True,0.03138140789850907,0.137179681552404,13999079.756203536,0.006793949946876765,0.006793949946876765,0.006793949946876765,0.006793949946876765,0.7875,0.675,0.75,1.0,0.803125
RWT,0001104659-26-081027,small,neutral,low,"2.02,7.01,9.01",4.635000228881836,678423186.0,False,0.1359222451981934,0.04090500918726981,51325778.11531391,0.06000000000000005,0.0765910517165107,0.0765910517165107,0.0765910517165107,0.3,0.4625,0.8625,0.0,0.40625
SLNG,0001437749-26-023321,micro,neutral,low,"4.01,9.01",3.9600000381469727,92051686.40303707,True,0.2853282746851731,0.42818098228024454,389656.4297301769,-0.10606062430506402,-0.10606062430506402,-0.12878787513898715,0.22727274916607687,1.0,0.9875,0.8875,1.0,0.96875
SRXH,0001493152-26-033350,small,neutral,low,"7.01,9.01",2.25,419032267.54945374,True,0.14897780948215056,0.17554860362772115,45876046.83970937,0.06000000000000005,-0.10222223069932723,-0.09777779049343538,-0.08888891008165145,0.85,0.4875,0.975,1.0,0.828125
SSB,0001104659-26-080628,mid,neutral,low,"7.01,9.01",100.73999786376953,9080470526.906128,True,0.035735542490177075,0.01689580043942261,91800556.51792084,0.008487228261507607,0.008487228261507607,0.008487228261507607,0.008487228261507607,0.0375,0.3375,0.1,1.0,0.36875
SSII,0001213900-26-077784,small,neutral,low,"5.02,9.01",3.700000047683716,1521604928.4468412,False,0.12059462881610683,0.2834236181231016,1364232.5032775402,0.06000000000000005,0.07837836705828538,0.07837836705828538,0.07837836705828538,0.9375,0.925,0.9,0.0,0.690625
SSII,0001213900-26-075763,small,neutral,low,"8.01,9.01",3.690000057220459,1521604928.4468412,True,0.12363146768536648,0.22662814489119493,316035.09317588806,0.06000000000000005,0.08130079882499053,0.08130079882499053,0.08130079882499053,0.9,1.0,0.9125,1.0,0.953125
SSII,0001213900-26-078945,small,neutral,low,"8.01,9.01",3.6700000762939453,1521604928.4468412,False,0.12975479396737333,0.3048786625339775,2199719.915001869,0.06000000000000005,0.08719344048786537,0.08719344048786537,0.08719344048786537,0.9625,0.8875,0.925,0.0,0.6937500000000001
TEX,0000097216-26-000107,mid,neutral,low,"8.01,9.01",64.01499938964844,3699183959.9609375,True,0.11692573118358762,0.041100143264958,379849518.88387036,0.06000000000000005,0.04288061817939992,0.04288061817939992,0.04288061817939992,0.3125,0.125,0.15,1.0,0.396875
UPLD,0001505155-26-000049,small,neutral,low,5.02,5.239999771118164,609968435.9513664,False,0.08646950844638801,0.32522531558876583,417768.80646181107,-0.1183014841284199,-0.1183014841284199,-0.08206103952689014,-0.1660114098764992,0.975,0.975,0.825,0.0,0.69375
USCB,0001562762-26-000084,small,neutral,low,"7.01,9.01",22.9950008392334,346753718.14115524,True,-0.0004348870848821518,0.12226988880009902,14963068.199357146,-0.028049594878169826,-0.028049594878169826,-0.028049594878169826,-0.028049594878169826,0.7625,0.625,0.6625,1.0,0.7625
WAFD,0000936528-26-000058,mid,neutral,low,"7.01,9.01",36.72999954223633,2296788344.0432167,True,0.005309003464592621,0.017355898264338084,136340567.15665558,-0.002041948376645286,-0.002041948376645286,-0.002041948376645286,-0.002041948376645286,0.05,0.25,0.4875,1.0,0.446875
AFBI,0000943374-26-000270,micro,positive,low,"8.01,9.01",22.760000228881836,115528871.7605896,True,0.010105427940394485,0.023317165890718812,1957298.816980362,0.010105427940394485,0.010105427940394485,0.010105427940394485,0.010105427940394485,0.1125,0.9125,0.7,1.0,0.6812499999999999
ARCB,0001104659-26-087722,small,positive,low,"2.02,9.01",148.21499633789062,1667243783.9513855,True,0.0015181061908382532,0.05754665669084787,453512050.96687376,-0.04638531977106308,-0.04638531977106308,-0.04638531977106308,-0.04638531977106308,0.4375,0.075,0.0625,1.0,0.39375
AXTA,0001193125-26-313418,mid,positive,low,"1.01,8.01,9.01",31.979999542236328,6282816141.069889,True,0.12507817564903823,0.021792798127802285,222538338.95906517,0.06000000000000005,0.09881175399138642,0.09881175399138642,0.09881175399138642,0.1,0.175,0.5625,1.0,0.459375
BMRC,0001403475-26-000035,small,positive,low,"2.02,7.01,8.01,9.01",29.979999542236328,417806546.44947433,False,0.029686501353785033,0.05795006333947108,61892384.171512455,-0.03302200754617879,-0.03302200754617879,-0.03302200754617879,-0.03302200754617879,0.4625,0.425,0.5875,0.0,0.36875
BPOP,0001193125-26-313376,mid,positive,low,"8.01,9.01",175.1199951171875,7628751245.098175,False,-0.0006852165402768673,0.029207798472639275,545912158.5230542,-0.012848332930196493,-0.012848332930196493,-0.012848332930196493,-0.012848332930196493,0.21875,0.05625,0.03125,0.0,0.0765625
CAC,0000750686-26-000058,small,positive,low,"2.02,9.01",55.869998931884766,638063630.1790237,False,0.06156970664656569,0.07293598929992068,74274926.86998215,0.06000000000000005,0.05387510638581161,0.05387510638581161,0.05387510638581161,0.575,0.4,0.2375,0.0,0.303125
CCRN,0000950103-26-010760,small,positive,low,"5.07,9.01",13.25,420991648.2477093,True,0.0007547342552329805,0.005252402019632803,54448274.58266048,0.0,0.0,0.0,0.0,0.0125,0.45,0.7625,1.0,0.55625
CIVB,0001193125-26-315066,small,positive,low,"7.01,9.01",28.854999542236328,415999431.3414688,False,0.02564546119763378,0.054956879326836,42858741.58003929,0.02269972958019828,0.02269972958019828,0.02269972958019828,0.02269972958019828,0.4,0.5,0.6,0.0,0.375
FNWD,0001628280-26-047308,micro,positive,low,8.01,36.9900016784668,144710781.98044586,True,0.2143821608717269,0.17998722176143603,910763.7727058411,0.06000000000000005,0.2108677719147336,0.2108677719147336,0.2108677719147336,0.875,0.9375,0.475,1.0,0.821875
JMSB,0001104659-26-085643,micro,positive,low,"2.02,9.01",22.889999389648438,265894918.14822006,False,0.03931854739523999,0.15329717394880613,6466523.139657974,0.030581073901470468,0.030581073901470468,0.030581073901470468,0.030581073901470468,0.83125,0.80625,0.68125,0.0,0.5796875
JMSB,0001104659-26-085645,micro,positive,low,"8.01,9.01",22.889999389648438,265894918.14822006,False,0.03931854739523999,0.15329717394880613,6466523.139657974,0.030581073901470468,0.030581073901470468,0.030581073901470468,0.030581073901470468,0.83125,0.80625,0.68125,0.0,0.5796875
LKFN,0000721994-26-000064,small,positive,low,"7.01,9.01",61.36000061035156,1449857241.8735504,False,0.05198830524242348,0.047198139043420746,160099818.96962905,0.03283897277713699,0.03283897277713699,0.03283897277713699,0.03283897277713699,0.36875,0.21875,0.19375,0.0,0.1953125
LKFN,0000721994-26-000063,small,positive,low,"2.02,9.01",61.36000061035156,1449857241.8735504,False,0.05198830524242348,0.047198139043420746,160099818.96962905,0.03283897277713699,0.03283897277713699,0.03283897277713699,0.03283897277713699,0.36875,0.21875,0.19375,0.0,0.1953125
MAIN,0001396440-26-000086,mid,positive,low,"2.02,9.01",53.68000030517578,5116312072.34404,False,0.05048433437157329,0.016482569888054417,128235706.17024964,0.03055140993853711,0.03055140993853711,0.03055140993853711,0.03055140993853711,0.025,0.2875,0.25,0.0,0.140625
MLI,0000089439-26-000029,mid,positive,low,"2.02,9.01",60.650001525878906,5455886545.428406,True,0.10171146246998397,0.027401202327357595,427445686.11296403,0.06000000000000005,0.08557287191158913,0.08557287191158913,0.08557287191158913,0.1875,0.1,0.2125,1.0,0.375
NHI,0000877860-26-000177,mid,positive,low,"5.02,9.01",80.04000091552734,3572355290.0,True,0.0032484024644736653,0.023566734856749188,248469185.55496797,-0.02248879349286237,-0.02248879349286237,-0.02248879349286237,-0.02248879349286237,0.125,0.1625,0.125,1.0,0.353125
NKSH,0001193125-26-314195,micro,positive,low,2.02,36.290000915527344,190980030.0,True,0.13860563936069492,0.13316568396941603,14242438.413319092,0.06000000000000005,0.11669882897521622,0.11669882897521622,0.11669882897521622,0.775,0.6625,0.5,1.0,0.734375
PROF,0001171843-26-004863,micro,positive,low,"7.01,9.01",7.019999980926514,194443822.43459988,True,0.10826214116050892,0.11684330770354803,9159482.610597286,0.06000000000000005,0.04273507002136334,0.04273507002136334,0.04273507002136334,0.7375,0.7375,0.8125,1.0,0.821875
TCBX,0001193125-26-301488,small,positive,low,"8.01,9.01",39.97999954223633,508012011.6004715,True,0.10630315279293945,0.07775384166196675,26930180.581268463,0.06000000000000005,0.09892450916304996,0.09892450916304996,0.09892450916304996,0.6125,0.55,0.425,1.0,0.6468750000000001
WAFD,0000936528-26-000055,mid,positive,low,"2.02,9.01",38.16999816894531,2296788344.0432167,False,0.0028818605089968585,0.025184560061982268,129843884.12473008,-0.03969084260740219,-0.03969084260740219,-0.03969084260740219,-0.03969084260740219,0.15,0.275,0.4375,0.0,0.215625
XRN,0001104659-26-080436,mid,positive,low,"1.01,2.01,9.01",38.099998474121094,2053177000.6244202,True,0.008661465728898587,0.07086623553559396,2602397.9746070863,-0.02729651292601709,-0.02729651292601709,-0.02729651292601709,-0.02729651292601709,0.5625,0.875,0.45,1.0,0.721875
FATN,0001493152-26-034029,micro,positive,medium,"8.01,9.01",4.599999904632568,88155575.02128601,True,0.1804347697638382,0.2934175855067781,4417257.707138786,0.06000000000000005,0.16956526651725068,0.16956526651725068,0.16956526651725068,0.95,0.8625,0.875,1.0,0.921875
FCFS,0000840489-26-000082,mid,positive,medium,"2.02,8.01,9.01",191.94000244140625,6804637349.703857,False,0.10180261038653371,0.05414283539336969,804113279.8359301,0.06000000000000005,0.0635615129366609,0.0635615129366609,0.0635615129366609,0.3875,0.0375,0.0125,0.0,0.109375
VERA,0001193125-26-297211,small,positive,medium,8.01,42.470001220703125,1912156944.9676895,True,0.036025399936909785,0.09707562914375217,401268143.17959976,-0.11184365112955275,-0.11184365112955275,-0.11961388474315149,-0.12785495995062002,0.6875,0.1125,0.375,1.0,0.54375
AMIX,0001437749-26-024597,micro,trap,medium,8.01,2.680000066757202,117712863.27306938,True,1.7052238132115027,0.3462177588225727,50886189.88175687,0.06000000000000005,0.5973880711537101,1.2798507392977418,1.1305969760874177,0.9875,0.475,0.95,1.0,0.8531249999999999
FATN,0001493152-26-034358,micro,trap,medium,"7.01,9.01",4.675000190734863,88155575.02128601,True,0.16149724209638627,0.27939719061491686,5185770.86214138,0.06000000000000005,0.15080211656531195,0.15080211656531195,0.15080211656531195,0.925,0.8375,0.85,1.0,0.9031250000000001
IPW,0001683168-26-005670,small,trap,medium,"1.01,8.01,9.01",1.0499000549316406,1884582175.045555,True,0.3715591788536652,0.279086346240862,4715173.207271124,-0.11658256880733942,-0.11658256880733942,0.1144870106276683,0.08581762648741931,0.9125,0.85,1.0,1.0,0.940625
LASE,0001493152-26-034532,micro,trap,medium,"4.01,9.01",1.090000033378601,65670288.63852024,True,0.045871514481795606,0.11880531851329783,9510458.89625855,-0.10091744122626767,-0.10091744122626767,-0.11458719191371702,-0.08256883543354943,0.75,0.7125,0.9875,1.0,0.8625
