ticker,p_pre,p_first,gap,gap_min,up10_hit,up10_min,up10_gap_share,up10_in_gap,dn10_hit,dn10_min,up20_hit,up20_min,up20_gap_share,up20_in_gap,dn20_hit,dn20_min,up50_hit,up50_min,up50_gap_share,up50_in_gap,dn50_hit,dn50_min
ACEL,11.819999694824219,11.819999694824219,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACGL,103.56999969482422,103.62000274658203,0.00048279474659795873,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACGL,102.34510040283203,102.33499908447266,-9.869860227418314e-05,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACHC,31.170000076293945,31.420000076293945,0.008020532543730585,0.0,True,14442.0,0.08020532543730585,False,False,,False,,,False,False,,False,,,False,False,
ACHC,31.959999084472656,31.940000534057617,-0.0006257368894843074,0.0,True,17027.0,-0.006257368894843074,False,False,,False,,,False,False,,False,,,False,False,
ACHC,34.68000030517578,34.69499969482422,0.000432508348225058,0.0,False,,,False,True,6841.0,False,,,False,True,6861.0,False,,,False,False,
ACHC,31.469999313354492,31.479999542236328,0.00031777022879042605,0.0,True,14525.0,0.0031777022879042605,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.289999961853027,6.295000076293945,0.0007949307585439769,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.0,6.0,0.0,0.0,True,12808.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.041299819946289,6.054999828338623,0.002267725291021261,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.0,6.0,0.0,0.0,True,12806.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
ACI,14.3149995803833,14.335000038146973,0.0013971678903210716,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACI,11.070199966430664,11.074000358581543,0.00034329932272259,0.0,True,7356.0,0.0034329932272259,False,False,,False,,,False,False,,False,,,False,False,
ACI,14.220000267028809,14.225000381469727,0.0003516254815065789,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACI,15.130000114440918,15.130000114440918,0.0,0.0,False,,,False,True,8340.0,False,,,False,True,8345.0,False,,,False,False,
ACI,14.149999618530273,14.15999984741211,0.0007067299753662493,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACNB,58.6150016784668,58.52000045776367,-0.0016207663223188895,0.0,True,27206.0,-0.016207663223188895,False,False,,False,,,False,False,,False,,,False,False,
ACNT,15.015000343322754,15.095000267028809,0.005328000124997123,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACNT,15.270000457763672,15.229999542236328,-0.0026195752670725714,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACTU,1.6699999570846558,1.7000000476837158,0.017964126568860372,0.0,True,71.0,0.17964126568860372,False,True,4364.0,False,,,False,True,10153.0,False,,,False,False,
ACU,47.0,47.400001525878906,0.008510670763381079,1052.0,True,4109.0,0.08510670763381079,False,False,,True,9696.0,0.04255335381690539,False,False,,False,,,False,False,
ACU,47.209999084472656,47.380001068115234,0.0036009740931872702,0.0,True,4278.0,0.0360097409318727,False,False,,True,9705.0,0.01800487046593635,False,False,,False,,,False,False,
ACU,46.41999816894531,47.209999084472656,0.017018546891194086,0.0,True,4085.0,0.17018546891194086,False,False,,True,9706.0,0.08509273445597043,False,False,,False,,,False,False,
ADBE,224.72999572753906,224.77000427246094,0.00017802939386157846,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,230.69000244140625,222.1699981689453,-0.03693269834970403,1036.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,234.47000122070312,234.5,0.0001279429314653413,0.0,False,,,False,True,10101.0,False,,,False,False,,False,,,False,False,
ADBE,223.6999969482422,223.72500610351562,0.00011179774525982289,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,226.90499877929688,227.18499755859375,0.0012339912333496628,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,264.1000061035156,264.0799865722656,-7.580284281460958e-05,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,220.78500366210938,220.77999877929688,-2.2668581332485616e-05,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,249.22000122070312,252.3699951171875,0.012639410484934555,226.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,230.69000244140625,222.1699981689453,-0.03693269834970403,16.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADBE,249.22000122070312,252.3699951171875,0.012639410484934555,326.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADCT,1.225000023841858,1.225000023841858,0.0,0.0,True,3000.0,0.0,False,True,19991.0,False,,,False,False,,False,,,False,False,
ADEA,27.610000610351562,27.614999771118164,0.00018106340659507225,0.0,False,,,False,True,8495.0,False,,,False,False,,False,,,False,False,
ADNT,19.18000030517578,19.190000534057617,0.000521388358848851,0.0,True,20019.0,0.00521388358848851,False,False,,False,,,False,False,,False,,,False,False,
ADSK,246.60499572753906,246.67999267578125,0.0003041177167597553,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ADSK,203.7050018310547,203.5800018310547,-0.0006136324531867965,0.0,True,5849.0,-0.006136324531867965,False,False,,True,8611.0,-0.0030681622659339824,False,False,,False,,,False,False,
ADTN,9.399999618530273,9.399999618530273,0.0,0.0,False,,,False,True,2799.0,False,,,False,False,,False,,,False,False,
ADTN,12.800000190734863,12.8100004196167,0.000781267869751634,0.0,False,,,False,True,11326.0,False,,,False,True,19966.0,False,,,False,False,
ADTN,11.770000457763672,11.795999526977539,0.0022089267801785883,0.0,False,,,False,True,2873.0,False,,,False,True,2874.0,False,,,False,False,
ADTN,11.885000228881836,11.895000457763672,0.000841415960391334,0.0,False,,,False,True,9750.0,False,,,False,True,9750.0,False,,,False,False,
ADTN,13.420000076293945,13.149999618530273,-0.0201192590334347,0.0,False,,,False,True,2947.0,False,,,False,True,12960.0,False,,,False,False,
ADTX,0.0031999999191612005,0.003100000089034438,-0.031249947704053316,0.0,True,1250.0,-0.31249947704053316,False,True,11317.0,True,1255.0,-0.15624973852026658,False,True,12691.0,True,1273.0,-0.06249989540810663,False,False,
ADVB,18.8154,17.0,-0.09648479437056878,3884.0,False,,,False,True,3884.0,False,,,False,True,4252.0,False,,,False,False,
AEBI,11.755000114440918,11.755000114440918,0.0,0.0,True,2667.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
AEHR,93.52999877929688,93.2300033569336,-0.003207478095569982,25.0,False,,,False,True,1471.0,False,,,False,True,5816.0,False,,,False,False,
AEHR,66.81999969482422,65.98999786376953,-0.01242145816889273,1023.0,True,2463.0,-0.1242145816889273,False,False,,True,11103.0,-0.06210729084446365,False,False,,True,11103.0,-0.02484291633778546,False,False,
AEHR,88.62000274658203,87.44999694824219,-0.01320250239311771,937.0,False,,,False,True,961.0,False,,,False,True,6697.0,False,,,False,False,
AEHR,67.64,79.48999786376953,0.17519216238571156,89.0,True,89.0,1.7519216238571156,True,False,,True,8729.0,0.8759608119285578,False,False,,True,8729.0,0.3503843247714231,False,False,
AEHR,77.07499694824219,77.07499694824219,0.0,0.0,True,8405.0,0.0,False,True,5525.0,True,8405.0,0.0,False,False,,False,,,False,False,
AEHR,67.64,79.48999786376953,0.17519216238571156,192.0,True,192.0,1.7519216238571156,True,False,,True,8832.0,0.8759608119285578,False,False,,True,8832.0,0.3503843247714231,False,False,
AEHR,88.62000274658203,87.44999694824219,-0.01320250239311771,246.0,False,,,False,True,270.0,False,,,False,True,6006.0,False,,,False,False,
AEHR,76.27999877929688,76.16000366210938,-0.0015730875604060834,0.0,True,8516.0,-0.015730875604060834,False,True,5636.0,True,8516.0,-0.007865437802030417,False,False,,False,,,False,False,
AEHR,91.0,90.9000015258789,-0.0010988843310010266,0.0,False,,,False,True,1274.0,False,,,False,True,5644.0,False,,,False,False,
AEHR,72.31999969482422,68.12999725341797,-0.05793698090552013,886.0,False,,,False,True,936.0,False,,,False,False,,False,,,False,False,
AEHR,66.30000305175781,66.2699966430664,-0.00045258532896264025,0.0,True,2609.0,-0.0045258532896264025,False,False,,True,11249.0,-0.0022629266448132013,False,False,,True,11249.0,-0.0009051706579252805,False,False,
AEHR,75.33000183105469,75.3499984741211,0.0002654539038942083,0.0,True,8569.0,0.002654539038942083,False,True,5702.0,True,8569.0,0.0013272695194710415,False,False,,False,,,False,False,
AEHR,65.52,72.0,0.098901098901099,1010.0,True,1025.0,0.9890109890109899,False,False,,False,,,False,False,,False,,,False,False,
