ticker,et,items,p_pre,entry,baseline_usd_per_min,gate_usd,rvol,entry_lag_min,moved_at_entry,r15m,r60m,r1d,r5d,fwd_up,fwd_dn
ADTN,2026-07-23 16:30:32-04:00,"1.01,1.02,2.03,9.01",10.145000457763672,10.220000267028809,19461.60054588318,0.0,0.0,1019.4666666666667,0.00739278520266029,-0.01272016742116111,-0.0342466117734731,-0.06947162618356628,-0.19227006861509233,0.0,-0.19863019898292789
ADTN,2026-07-22 07:02:14-04:00,"2.02,7.01,9.01",12.14,9.869999885559082,18297.640169143677,0.0,0.0,147.76666666666668,-0.18698518240864237,0.020162143960376522,0.026342475369452112,0.0547112429700336,-0.1342451696685184,0.07801423168102262,-0.14184393462644618
ADTX,2026-07-17 12:06:00-04:00,"1.01,3.02,9.01",0.0024999999441206455,0.0024999999441206455,86.51999942958355,0.12499999720603228,0.00048158421185908053,12.0,0.0,-0.03999993294477311,0.0,0.27999999627470973,0.11999998509883847,0.6799999776482577,-0.03999993294477311
ADVB,2026-07-17 17:00:14-04:00,"1.02,9.01",5.03000020980835,6.75,4622.739820480347,0.0,0.0,3869.766666666667,0.3419482541646226,0.06370367827238854,0.17037038449887887,0.31703708789966734,0.8622221770109955,1.7748147469979747,-0.07999999434859661
AEBI,2026-07-13 07:00:22-04:00,"7.01,9.01",11.6899995803833,11.579999923706055,9626.400032043457,0.0,0.0,149.63333333333333,-0.009409722893560568,0.025043174763702103,0.03540585924985851,0.0716752961290541,0.13169254132794617,0.18134718439597752,0.0008635776293368647
AEHR,2026-07-14 16:50:31-04:00,"2.02,9.01",72.06999969482422,102.0999984741211,182035.20462036133,0.0,0.0,999.4833333333333,0.41667821432575236,-0.019392710647698208,-0.07825659141214114,-0.1413320325252826,-0.20685597877399287,0.07933397252864971,-0.24828598288908366
AEMD,2026-07-07 19:07:31-04:00,"1.01,8.01,9.01",0.7028999924659729,0.7319999933242798,363.95001196861267,0.0,0.0,862.4833333333333,0.04139991630418982,0.009562881353696318,-0.04371585455880267,-0.036885259917781466,-0.24863385664366244,0.024590173278520977,-0.28278691127587974
AEON,2026-07-23 16:01:19-04:00,8.01,0.26,0.25999999046325684,480.9561277627945,0.0,0.0,1054.6833333333334,-3.667978143440109e-08,-0.02807688357561855,-0.04192304306481598,-0.024230733439765895,-0.0769230636971937,3.667978276666872e-08,-0.14538456001225109
AEON,2026-07-15 16:01:21-04:00,"1.01,8.01,9.01",0.2997,0.28999999165534973,827.942510843277,0.0,0.0,1048.65,-0.032365726875710044,-0.01689647854720866,0.020344812879947494,0.04517240900913966,-0.13586200907737656,0.06896555622182587,-0.23379305986104926
AES,2026-07-27 16:31:05-04:00,"4.01,9.01",14.83,14.850000381469727,78515.79739809036,0.0,0.0,1018.9166666666666,0.0013486433897320627,-0.0004848647073337764,-0.0006666729174611419,-0.0013468270004008964,-0.0033670161246093233,0.0,-0.005387200111178547
AFBI,2026-07-22 16:15:32-04:00,"8.01,9.01",22.844999313354492,22.899999618530273,6848.999977111816,0.0,0.0,1034.4666666666667,0.0024075424306810866,0.0017423505115483628,0.003930137733062056,0.003930137733062056,0.003930137733062056,0.003930137733062056,0.0
AFBI,2026-07-17 17:04:29-04:00,"8.01,9.01",22.709999084472656,22.760000228881836,13841.319557189941,342401.44344329834,8.245876703410989,3865.516666666667,0.002201723752748519,0.0030755577381493815,0.0026361803751762114,0.010105427940394485,0.010105427940394485,0.010105427940394485,0.0
AGCO,2026-07-10 16:35:18-04:00,"5.03,9.01",114.32,113.94499969482422,102969.35888671875,0.0,0.0,3894.7,-0.0032802685897110884,-0.0005704720837276245,0.005792300354355628,-0.0025889522992268432,-0.0005704720837276245,0.036201676344270295,-0.022730232522948257
