source,ticker,date,open,d0,pk_d0,d1,pk_d1,d5,pk_d5,d10,pk_d10
trial_update,BNTX,2026-07-17,91.79000091552734,0.004030970071811302,0.012092827097507808,0.005883003705646539,0.022987259933610282,-0.007626152856027524,0.022987259933610282,0.01263749886855714,0.028162098907173805
trial_update,BNTX,2026-07-22,90.79000091552734,0.01398828758959958,0.01773323707584873,-0.01608105595054532,0.01773323707584873,0.023791122490730565,0.039486717130977844,0.023791122490730565,0.039486717130977844
trial_update,BNTX,2026-07-14,90.08999633789062,0.021090038884592488,0.023754102631069918,0.01631703053011302,0.029603813460999717,0.019314081073308342,0.0422911015968801,0.031746039811400006,0.047563590146436185
trial_update,BNTX,2026-07-01,94.48999786376953,0.03233146760761185,0.04571912152069846,-0.0059265273706654575,0.04571912152069846,-0.03174939218778727,0.04571912152069846,-0.031855165360206494,0.04571912152069846
trial_update,BNTX,2026-07-22,90.79000091552734,0.01398828758959958,0.01773323707584873,-0.01608105595054532,0.01773323707584873,0.023791122490730565,0.039486717130977844,0.023791122490730565,0.039486717130977844
trial_update,BNTX,2026-07-17,91.79000091552734,0.004030970071811302,0.012092827097507808,0.005883003705646539,0.022987259933610282,-0.007626152856027524,0.022987259933610282,0.01263749886855714,0.028162098907173805
trial_results,BMRN,2026-07-21,59.5,-0.01848736931295958,0.008067219197249287,-0.010588253245634172,0.008067219197249287,0.031428553477054866,0.05966385272370678,0.031428553477054866,0.05966385272370678
trial_update,BMRN,2026-07-24,59.88999938964844,0.006344983669859916,0.01836704458221261,0.036400072255679206,0.05276339755579107,0.024711964557009747,0.05276339755579107,0.024711964557009747,0.05276339755579107
fda_drug,AMGN,2026-07-16,373.9700012207031,-0.020536387011558244,0.012220251114531733,-0.026205277859132736,0.012220251114531733,0.005535222925533878,0.014546627867607409,0.03655377004335403,0.06425648768847436
fda_drug,AMGN,2026-07-15,358.25,0.03720861569369327,0.03877184828593849,0.02244245232357822,0.0566364509279047,0.036985345429169536,0.0566364509279047,0.08203772407100485,0.11095603628750883
trial_results,AMGN,2026-07-22,359.9800109863281,0.032001746380605045,0.032946233095184185,0.0446135815002342,0.0539751988521362,0.076837609917068,0.1056169449784139,0.076837609917068,0.1056169449784139
trial_results,AMGN,2026-07-24,378.54998779296875,-0.006049341173393841,0.009853417267492004,0.0384361875042627,0.051380300711219684,0.024012751680341227,0.051380300711219684,0.024012751680341227,0.051380300711219684
trial_results,AMGN,2026-07-01,364.739990234375,0.025799210160812658,0.028540889238441114,0.004660887899730515,0.028540889238441114,-0.0037011998192740814,0.028815073880084974,0.004249652771967316,0.03783522147291629
trial_results,AMGN,2026-07-23,372.7300109863281,0.008880416014355186,0.01792179990579368,0.009470658855603498,0.02562173023765202,0.04000215497178283,0.06779703342588861,0.04000215497178283,0.06779703342588861
trial_results,AMGN,2026-07-13,358.17999267578125,-0.00818022428861187,0.001898466384739672,0.0003909058331021953,0.004802058339032023,0.022502645941727684,0.056842973603972835,0.09749292015688726,0.11117317588496123
trial_results,AMGN,2026-07-23,372.7300109863281,0.008880416014355186,0.01792179990579368,0.009470658855603498,0.02562173023765202,0.04000215497178283,0.06779703342588861,0.04000215497178283,0.06779703342588861
trial_update,AMGN,2026-07-17,367.95001220703125,-0.010273131278414005,0.006359549559068922,-0.004647430128889574,0.006359549559068922,0.022584582913175888,0.03894547111525215,0.053512710390474005,0.08166866910187998
trial_update,AMGN,2026-07-16,373.9700012207031,-0.020536387011558244,0.012220251114531733,-0.026205277859132736,0.012220251114531733,0.005535222925533878,0.014546627867607409,0.03655377004335403,0.06425648768847436
trial_update,AMGN,2026-07-20,365.0899963378906,0.0031498915555605578,0.010463193630436685,0.0026294652406462227,0.016187799505302358,0.07672083608585578,0.09014216766337024,0.061765642818864874,0.09014216766337024
trial_update,AMGN,2026-07-07,366.19000244140625,0.0049154476664248214,0.014282233134327527,-0.0070182345424080195,0.014282233134327527,-0.02149156193429058,0.014282233134327527,-0.0003823551913051393,0.03372567798459136
trial_update,AMGN,2026-07-22,359.9800109863281,0.032001746380605045,0.032946233095184185,0.0446135815002342,0.0539751988521362,0.076837609917068,0.1056169449784139,0.076837609917068,0.1056169449784139
trial_update,AMGN,2026-07-20,365.0899963378906,0.0031498915555605578,0.010463193630436685,0.0026294652406462227,0.016187799505302358,0.07672083608585578,0.09014216766337024,0.061765642818864874,0.09014216766337024
trial_update,AMGN,2026-07-16,373.9700012207031,-0.020536387011558244,0.012220251114531733,-0.026205277859132736,0.012220251114531733,0.005535222925533878,0.014546627867607409,0.03655377004335403,0.06425648768847436
trial_update,AMGN,2026-07-23,372.7300109863281,0.008880416014355186,0.01792179990579368,0.009470658855603498,0.02562173023765202,0.04000215497178283,0.06779703342588861,0.04000215497178283,0.06779703342588861
trial_update,AMGN,2026-07-23,372.7300109863281,0.008880416014355186,0.01792179990579368,0.009470658855603498,0.02562173023765202,0.04000215497178283,0.06779703342588861,0.04000215497178283,0.06779703342588861
