ticker,items,public_et,fill_et,lag_min,entry,exit_et,exit_px,why,pre_vol,ret,size,pnl,balance
FUL,"1.01,1.02,2.03,9.01",2026-07-20 15:15:37-04:00,2026-07-20 15:17:00-04:00,1.3833333333333333,55.83000183105469,2026-07-22 12:21:00-04:00,56.220001220703125,time,0.046001658129124615,0.006985480509719588,24.621995982783602,0.17199647304812885,75.61082418390754
RRC,"2.02,9.01",2026-07-22 11:00:17-04:00,2026-07-22 11:02:00-04:00,1.7166666666666666,38.83000183105469,2026-07-23 10:05:00-04:00,39.29999923706055,time,0.06497630039827329,0.012103975890878749,25.146275903619795,0.3043699172827992,75.91519410119034
POOL,"2.02,7.01,9.01",2026-07-23 09:29:29-04:00,2026-07-23 09:31:00-04:00,1.5166666666666666,200.28500366210938,2026-07-23 13:24:00-04:00,190.00999450683594,stop,0.06615493563329587,-0.05130193957310891,25.203608061302507,-1.292993977785262,74.62220012340508
SLG,"2.02,7.01,9.01",2026-07-23 13:45:25-04:00,2026-07-23 13:47:00-04:00,1.5833333333333333,52.91999816894531,2026-07-24 13:35:00-04:00,55.150001525878906,time,0.06712423632025424,0.042139142745515334,24.87406670780169,1.048171847661526,75.6703719710666
NVR,"2.02,9.01",2026-07-23 13:54:44-04:00,2026-07-23 13:56:00-04:00,1.2666666666666666,6054.580078125,2026-07-27 09:34:00-04:00,6538.946484375,target,0.05402337712780157,0.08000000000000007,24.87406670780169,1.9899253366241367,77.66029730769074
CBRL,"5.02,7.01,9.01",2026-07-27 09:49:01-04:00,2026-07-27 09:51:00-04:00,1.9833333333333334,52.939998626708984,2026-07-27 11:06:00-04:00,50.20000076293945,stop,0.0683254505888432,-0.051756666695249254,25.886765769230237,-1.3398127077360371,76.32048459995471
CHCO,"2.02,9.01",2026-07-22 11:16:03-04:00,2026-07-22 11:18:00-04:00,1.95,137.83999633789062,2026-07-27 11:18:00-04:00,142.0500030517578,time,0.06218000087131465,0.03054270767351941,25.146275903619795,0.7680353540019246,77.08851995395663
FJET,"4.01,7.01,9.01",2026-07-24 13:50:50-04:00,2026-07-24 13:52:00-04:00,1.1666666666666667,3.4897000789642334,2026-07-27 14:13:00-04:00,3.6050000190734863,time,0.11482107581392209,0.03304007149619426,25.223457323688862,0.8333848333558846,77.92190478731251
CARE,"7.01,9.01",2026-07-27 11:24:16-04:00,2026-07-27 11:26:00-04:00,1.7333333333333334,34.33000183105469,2026-07-28 15:25:00-04:00,34.38999938964844,time,0.055664777546305014,0.0017476712902320113,25.696173317985536,0.04490846437666916,77.96681325168919
WAFD,"7.01,9.01",2026-07-28 15:33:32-04:00,2026-07-28 15:36:00-04:00,2.466666666666667,36.72999954223633,2026-07-29 15:16:00-04:00,36.654998779296875,time,0.03565558212986445,-0.002041948376645286,25.988937750563053,-0.053068069250497625,77.91374518243869
IBCP,"5.02,9.01",2026-07-27 14:38:19-04:00,2026-07-27 14:41:00-04:00,2.683333333333333,37.72999954223633,2026-07-29 15:54:00-04:00,38.7599983215332,time,0.05567331836715738,0.027299199358427062,25.973968262437495,0.7090685377257385,78.62281372016443
CCBG,"7.01,9.01",2026-07-27 11:11:39-04:00,2026-07-27 11:13:00-04:00,1.35,52.375,2026-07-30 11:00:00-04:00,51.95500183105469,time,0.09135060935925446,-0.008019058118287625,25.44016153331823,-0.2040061338743041,78.41880758629013
