accession,ticker,items,et,chars,event_category,is_binding,transaction_value_usd,value_confidence,has_toxic_financing,toxic_signals,revenue,market_cap,shock,key,up20,dn20,fwd_up,fwd_dn,neg,lng
0001213900-26-079438,USAR,"5.02,7.01,9.01",2026-07-20 13:00:39+00:00,58593,MA_ACTIVITY,False,,NONE,False,,1643000.0,1894956916.4809685,,USAR|2026-07-20 13:00:00+00:00,False,False,0.036546999468358043,-0.06647765045895049,False,True
0001104659-26-086068,UTHR,"5.02,7.01,9.01",2026-07-23 11:00:29+00:00,12135,ADMINISTRATIVE,False,,NONE,False,,3182700000.0,19109452427.65216,,UTHR|2026-07-23 11:00:00+00:00,False,False,0.024406131162074463,-0.01074096540139513,False,False
0001096906-26-001112,UTMD,"2.02,9.01",2026-07-23 19:13:28+00:00,38017,COMMERCIAL_CONTRACT,False,,NONE,False,,38520000.0,184008505.0915451,,UTMD|2026-07-23 19:13:00+00:00,False,False,0.1395270768986192,-0.007596866104954025,False,False
0000102212-26-000033,UVSP,"2.02,9.01",2026-07-23 12:30:25+00:00,3648,ADMINISTRATIVE,False,,NONE,False,,328056000.0,891521116.7266273,,UVSP|2026-07-23 12:30:00+00:00,False,False,0.063774848972876,-0.009162965113543864,False,False
0000102212-26-000035,UVSP,"7.01,9.01",2026-07-27 20:42:16+00:00,4382,ADMINISTRATIVE,False,,NONE,False,,328056000.0,891521116.7266273,,UVSP|2026-07-27 20:42:00+00:00,False,False,0.02161673244249296,-0.004390896093092067,False,False
0001524358-26-000029,VAC,"5.02,9.01",2026-07-21 12:00:10+00:00,4482,ADMINISTRATIVE,False,,NONE,False,,4672000000.0,2302450315.139534,,VAC|2026-07-21 12:00:00+00:00,False,False,0.07212243849123245,-0.058644009681620535,False,False
0000885978-26-000039,USPH,"8.01,9.01",2026-07-06 20:22:02+00:00,7040,ADMINISTRATIVE,False,,NONE,False,,780990000.0,1179231432.5205688,,USPH|2026-07-06 20:22:00+00:00,False,False,0.025026700838294058,-0.08899894830350119,False,False
0001111335-26-000045,VC,"1.01,2.02,7.01,9.01",2026-07-23 11:03:31+00:00,6689,ADMINISTRATIVE,True,200000000.0,HIGH,False,,3768000000.0,3163782502.3414536,0.05307855626326964,VC|2026-07-23 11:03:00+00:00,False,False,0.0979411019667269,-0.040769336511145116,False,False
0001493152-26-032066,USGO,"7.01,9.01",2026-07-06 10:45:29+00:00,15051,ADMINISTRATIVE,False,,NONE,False,,,129490122.4438057,,USGO|2026-07-06 10:45:00+00:00,False,False,0.03258426677336379,-0.18601118306411502,False,False
0001062993-26-003630,UUUU,"7.01,9.01",2026-07-13 22:55:44+00:00,3723,ADMINISTRATIVE,False,,NONE,False,,65922000.0,5033326531.263603,,UUUU|2026-07-13 22:55:00+00:00,False,False,-0.0011024910072119365,-0.153980099083996,False,False
