ticker,band,items,impact,paperwork_public_et,entry_t,entry_px,lag_min,exit_t,exit_px,exit_reason,held_min,size_usd,ret,pnl,balance_after,final_verdict,final_impact
PVLA,small,"8.01,9.01",low,2026-07-14 16:48:25-04:00,2026-07-15 13:30:00+00:00,146.77000427246094,1001.5833333333334,2026-07-15 19:26:00+00:00,152.4199981689453,time,356.0,39.905444226775224,0.038495562662762106,1.5361825288171858,4790.962789322056,neutral,low
SRXH,small,"7.01,9.01",low,2026-07-15 15:45:14-04:00,2026-07-15 19:47:00+00:00,2.25,1.7666666666666666,2026-07-15 22:39:00+00:00,2.195,time,172.0,39.92468991101714,-0.02444444444444449,-0.9759368644915369,4789.986852457564,neutral,low
MAIN,mid,"2.02,9.01",low,2026-07-16 09:15:53-04:00,2026-07-16 13:30:00+00:00,53.68000030517578,14.116666666666667,2026-07-16 15:41:00+00:00,54.94499969482422,time,131.0,39.91655710381305,0.023565562266333773,0.9406561118875771,4790.927508569452,positive,low
PROF,micro,"7.01,9.01",low,2026-07-15 08:00:32-04:00,2026-07-15 13:30:00+00:00,7.159999847412109,89.46666666666667,2026-07-16 17:55:00+00:00,7.01200008392334,time,1705.0,39.905444226775224,-0.020670358469667027,-0.8248598370587459,4790.1026487323925,neutral,low
CCRN,small,"5.07,9.01",low,2026-07-17 08:19:25-04:00,2026-07-17 13:30:00+00:00,13.25,70.58333333333333,2026-07-17 17:21:00+00:00,13.25,time,231.0,39.917522072769955,0.0,0.0,4790.1026487323925,positive,low
WAFD,mid,"2.02,9.01",low,2026-07-17 13:03:27-04:00,2026-07-17 17:06:00+00:00,38.16999816894531,2.55,2026-07-17 19:26:00+00:00,38.029998779296875,time,140.0,39.91752207276995,-0.0036677861242954135,-0.1464089335747616,4789.9562397988175,positive,low
BNAI,micro,"5.02,9.01",low,2026-07-17 12:10:15-04:00,2026-07-17 16:12:00+00:00,11.75,1.75,2026-07-20 08:26:00+00:00,11.73,time,3854.0,39.91752207276995,-0.0017021276595744483,-0.06794471842173522,4789.888295080395,neutral,low
PLCE,micro,"5.02,9.01",low,2026-07-17 16:30:32-04:00,2026-07-20 13:30:00+00:00,2.994999885559082,3899.4666666666667,2026-07-20 14:03:00+00:00,2.690000057220459,stop,33.0,39.91630199832348,-0.10183634056523116,-4.064930124405883,4785.82336495599,neutral,low
SSII,small,"5.02,9.01",low,2026-07-14 08:35:22-04:00,2026-07-14 13:30:00+00:00,3.700000047683716,54.63333333333333,2026-07-20 14:55:00+00:00,3.5899999141693115,time,8725.0,39.900746144240436,-0.029729765431561805,-1.1862398234125564,4784.637125132577,neutral,low
ESI,mid,"7.01,9.01",low,2026-07-20 08:25:44-04:00,2026-07-20 13:30:00+00:00,37.91999816894531,64.26666666666667,2026-07-20 15:30:00+00:00,37.3849983215332,time,120.0,39.91573579233664,-0.014108646446355788,-0.5631570039402263,4784.073968128637,neutral,low
AFBI,micro,5.07,low,2026-07-07 16:41:43-04:00,2026-07-08 14:41:00+00:00,22.670000076293945,1079.2833333333333,2026-07-20 16:11:00+00:00,22.829999923706055,time,17370.0,39.974566778305906,0.007057778865180664,0.28213165255267114,4784.356099781189,neutral,low
AFBI,micro,"8.01,9.01",low,2026-07-17 17:04:29-04:00,2026-07-20 13:30:00+00:00,22.760000228881836,3865.516666666667,2026-07-20 18:17:00+00:00,22.829999923706055,time,287.0,39.91630199832348,0.0030755577381493815,0.12276489148925407,4784.478864672678,positive,low
FNWD,micro,8.01,low,2026-07-06 16:45:19-04:00,2026-07-07 13:37:00+00:00,36.9900016784668,1011.6833333333333,2026-07-20 20:04:00+00:00,36.625,time,19107.0,39.97377930486759,-0.00986757669381988,-0.3944443330326095,4784.0844203396455,positive,low
SSII,small,"8.01,9.01",low,2026-07-17 09:29:40-04:00,2026-07-17 13:34:00+00:00,3.6700000762939453,4.333333333333333,2026-07-21 09:47:00+00:00,3.8902000808715824,target,5533.0,39.917522072769955,0.06000000000000005,2.3950513243662,4786.479471664012,neutral,low
BSET,micro,"8.01,9.01",low,2026-07-17 09:32:01-04:00,2026-07-17 13:41:00+00:00,22.059999465942383,8.983333333333333,2026-07-21 13:57:00+00:00,20.8799991607666,time,5776.0,39.917522072769955,-0.05349049563657249,-2.1352080402562805,4784.344263623755,neutral,low
