ticker,direction,move,move_date,last_close,median_dollars,n_filings,forms,has_8k,has_offering,has_merger,has_13d,has_insider,bearish_item,bullish_item,scheduled_item,no_filing
AAOI,down,-0.31690770455131334,2026-07-23,76.5199966430664,1001806564.956665,6,"144,4",False,False,False,False,True,False,False,False,False
AAON,down,-0.2118313288813889,2026-07-23,84.87000274658203,94761182.09381104,-1,,False,False,False,False,False,False,False,False,False
AARD,up,0.5199999809265137,2026-07-10,5.320000171661377,1191024.0035057068,2,"ARS,DEF 14A",False,False,False,False,False,False,False,False,False
AARD,down,-0.21578945882432665,2026-07-13,5.320000171661377,1191024.0035057068,2,"ARS,DEF 14A",False,False,False,False,False,False,False,False,False
AAUC,down,-0.2148455386202035,2026-07-22,17.030000686645508,11722927.487945557,-1,,False,False,False,False,False,False,False,False,False
ABSI,down,-0.2824760810255649,2026-07-09,6.900000095367432,47063686.68308258,1,4,False,False,False,False,True,False,False,False,False
ABTC,down,-0.23203767294474198,2026-07-07,5.190000057220459,8896185.970592499,1,8-K,True,False,False,False,False,False,True,False,False
ACDC,down,-0.28656127748634064,2026-07-22,3.609999895095825,6884748.150444031,0,,False,False,False,False,False,False,False,False,True
ACHC,down,-0.21362848357113584,2026-07-22,27.350000381469727,94181158.8558197,0,,False,False,False,False,False,False,False,False,True
ACMR,down,-0.2704725562136179,2026-07-22,65.30000305175781,123875929.06951904,0,,False,False,False,False,False,False,False,False,True
ACI,down,-0.21643840537820047,2026-07-23,12.0600004196167,101703366.46938324,2,8-K,True,False,False,False,False,False,False,True,False
ACU,up,0.305010883106543,2026-07-22,59.900001525878906,616968.0221557617,1,8-K,True,False,False,False,False,False,True,False,False
ADBE,up,0.24159869420378177,2026-07-23,263.42999267578125,1285690244.8913574,9,"4,8-K",True,False,False,False,True,False,False,False,False
ADTN,down,-0.2578253728108403,2026-07-21,8.329999923706055,19973169.249343872,1,S-3ASR,False,True,False,False,False,False,False,False,False
ADSK,up,0.20515970515970516,2026-07-22,245.25,471493515.03448486,0,,False,False,False,False,False,False,False,False,True
ADUR,down,-0.20817842526265629,2026-07-09,12.670000076293945,7117739.730834961,-1,,False,False,False,False,False,False,False,False,False
AEHR,up,0.2785677725146527,2026-07-21,65.4000015258789,171957232.15026855,8,"144,4,8-K",True,False,False,False,True,False,False,True,False
AEHR,down,-0.30083385839455645,2026-07-22,65.4000015258789,171957232.15026855,5,"144,4",False,False,False,False,True,False,False,False,False
AESI,down,-0.3003436308091464,2026-07-22,10.180000305175781,41888341.39251709,-1,,False,False,False,False,False,False,False,False,False
AGEN,up,0.8268656894873345,2026-07-13,6.630000114440918,7468422.023820877,4,"4,8-K",True,False,False,False,True,True,True,True,False
AGL,down,-0.24522487088671385,2026-07-17,92.66000366210938,37875864.11743164,0,,False,False,False,False,False,False,False,False,True
AGPU,up,0.26783117659952493,2026-07-20,7.019999980926514,1621853.9917945862,1,S-3/A,False,True,False,False,False,False,False,False,False
AGPU,down,-0.2547169641567405,2026-07-22,7.019999980926514,1621853.9917945862,2,"8-K,S-3/A",True,True,False,False,False,False,True,False,False
