ticker,et,verdict,entry,gap,adv,max_up,max_dn,prior_mom,cik,revenue,concept,period,market_cap,as_of,rev_per_cap,cash,rnd,opcf,net_income,liabilities,equity,opex,burn_annual,runway_years,cash_per_cap,liab_per_cash,equity_per_cap,is_profitable,pre_revenue,log_cap,log_price,log_adv,up,dn,burn_rank,tercile,q,capq
ZYME,2025-09-02 10:58:56+00:00,SILENT,13.65999984741211,-0.024982182423394672,5321518.380975723,0.2884334244560076,-0.004392347482620962,0.1119047464066536,0001937653,105965000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1419889396.5621948,2025-11-03,0.07462905227446598,41157000.0,,-33005000.0,-81130000.0,78026000.0,268501000.0,198514000.0,33005000.0,1.246992879866687,0.028986060533763004,1.8958135918555774,0.18909994021371576,False,False,9.152254515979175,1.1354506944942635,6.726035566579621,False,False,0.2550335570469799,LOW,2025Q3,large
UTHR,2025-09-02 11:00:49+00:00,MIXED,402.6099853515625,-0.005434678541289761,187803376.55639648,0.14125339088424793,-0.06706242016432695,0.24243443759969363,0001082554,3182700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,19109452427.65216,2025-10-21,0.1665510831380235,1557100000.0,550000000.0,1561200000.0,1334700000.0,783800000.0,7096200000.0,1690200000.0,550000000.0,2.831090909090909,0.08148323484909555,0.5033716524308008,0.37134502031735395,True,False,10.281248242729728,2.604884541862387,8.273703396272095,False,False,0.9696969696969697,HIGH,2025Q3,large
OLMA,2025-09-02 11:05:30+00:00,POSITIVE,6.429999828338623,-0.006182374520887324,2232481.45673275,0.7953343670490831,-0.06920679731016377,0.45067258628988416,0001750284,,,,545642902.4590406,2025-11-05,,48301000.0,157697000.0,-146716000.0,-162451000.0,54871000.0,478559000.0,178698000.0,146716000.0,0.32921426429291967,0.08852126506607638,1.13602202852943,0.8770553008997009,False,True,8.73690851041803,0.8082109613298847,6.348787860271854,True,False,0.6510067114093959,MID,2025Q3,mid
IONS,2025-09-02 11:05:42+00:00,POSITIVE,58.97999954223633,0.025917512963434364,80271657.79781342,0.21854871658849384,-0.007121026995677515,0.6290733971948301,0000874015,943711000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,11396472873.5,2025-10-22,0.08280728699792662,372260000.0,915619000.0,-268583000.0,-381387000.0,3034747000.0,489089000.0,1325395000.0,268583000.0,1.38601475149209,0.032664492262830636,8.152224251866974,0.042915821888829246,False,False,10.056770461108945,1.7707047648450733,7.904562232268013,False,False,0.8461538461538461,HIGH,2025Q3,large
ZBIO,2025-09-02 11:15:16+00:00,POSITIVE,17.520000457763672,0.0,2235962.9402160645,0.517636986711485,-0.066210035222806,0.5755396257257079,0001953926,10000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1179509876.7682858,2025-10-29,0.00847809772258863,110641000.0,168063000.0,-172333000.0,-377737000.0,141496000.0,242144000.0,393057000.0,172333000.0,0.6420186499393615,0.09380252101249287,1.2788749197856129,0.20529204949385013,False,False,9.071701581854091,1.2435341131793356,6.349464601095851,True,False,0.7190635451505016,HIGH,2025Q3,large
COYA,2025-09-02 12:30:25+00:00,SILENT,6.519999980926514,0.0,268305.0045967102,0.04294481758089841,-0.21748462401280266,0.10884351259004155,0001835022,7945753.0,Revenues,CY2025,96336470.38806725,2025-11-06,0.08247917915190926,46822786.0,,-10739301.0,-21226107.0,6922015.0,43028230.0,30500978.0,10739301.0,4.359947262861894,0.48603385417159445,0.1478343257917203,0.4466452821726974,False,False,7.98379073042489,0.8142475944614432,5.428628773486195,False,False,0.05333333333333334,LOW,2025Q3,small
NAMS,2025-09-02 12:30:37+00:00,POSITIVE,24.6299991607666,0.0,18710182.99589157,0.40560292779186713,-0.06414941037524902,0.2229394194235148,0001936258,22503000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,4036040689.315567,2025-10-29,0.005575513661091476,490002000.0,141832000.0,-147783000.0,-203000000.0,85853000.0,683431000.0,248186000.0,147783000.0,3.3156858366659225,0.1214066055620204,0.17520948894086147,0.1693320391464875,False,False,9.60595553592368,1.3914643970411154,7.272078035159939,False,False,0.6511627906976745,MID,2025Q3,large
UPB,2025-09-02 12:38:15+00:00,POSITIVE,20.940000534057617,0.03356368694440581,6180531.979751587,0.004298001446633615,-0.2574021110723589,0.7976929375300192,0002022626,2854000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1393558708.5148144,2025-11-02,0.002047994090641256,101578000.0,136806000.0,-133275000.0,-143443000.0,14001000.0,339771000.0,163215000.0,133275000.0,0.7621684486963046,0.0728910804972521,0.13783496426391542,0.24381534694158027,False,False,9.144125269602569,1.3209766884191498,6.7910258579249465,False,False,0.6026490066225165,MID,2025Q3,large
SVRA,2025-09-02 13:13:41+00:00,MIXED,3.359999895095825,0.015105726036447331,3996998.413991928,0.1794643401364706,-0.011904750923180218,0.35655732178553623,0001160308,,,,748383859.0735893,2025-11-11,,33180000.0,,-101037000.0,-118837000.0,50303000.0,203133000.0,123547000.0,101037000.0,0.328394548531726,0.04433553663366406,1.5160638939119953,0.2714288897831851,False,True,8.874124412191327,0.5263392638305271,6.601733975932186,False,False,0.5610561056105611,MID,2025Q3,mid
VOR,2025-09-02 14:43:08+00:00,MIXED,40.400001525878906,-0.009803865653465582,7294927.997455597,0.2363861108010883,-0.37128716190122235,8.107142648070443,0001817229,,,,2604604694.5039196,2025-11-04,,396486000.0,321532000.0,-142713000.0,-695981000.0,628438000.0,-164312000.0,371642000.0,142713000.0,2.7782052090559373,0.15222501934233665,1.585019395388488,-0.06308519690021343,False,True,9.41574181898949,1.6063813815135946,6.863021009668533,False,True,0.6348684210526315,MID,2025Q3,large
CYTK,2025-09-02 21:20:58+00:00,POSITIVE,49.900001525878906,0.005642938331750225,60778469.67868805,0.23206408140793067,-0.05370741930310141,0.5362229134343601,0001061983,88039000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,7183018928.614136,2025-11-03,0.012256545733060724,122518000.0,416026000.0,-510009000.0,-784955000.0,2084162000.0,-659625000.0,700297000.0,510009000.0,0.2402271332466682,0.017056616614490552,17.011067761471782,-0.09183116549677052,False,False,9.856307010882949,1.6981005589035658,7.783749760922136,False,False,0.9638157894736842,HIGH,2025Q3,large
AARD,2025-09-03 00:56:36+00:00,POSITIVE,9.0,0.015801393763852367,715612.0204925537,0.9933333926730685,-0.16666666666666663,-0.24978837071330073,0001774857,0.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,226949501.60767078,2025-10-30,0.0,47051000.0,48936000.0,-54172000.0,-57591000.0,10548000.0,106633000.0,62725000.0,54172000.0,0.8685483275492875,0.20731924796793516,0.22418227030243779,0.4698534222134456,False,True,8.355929233347755,0.9542425094393249,5.854677627017947,True,False,0.3344262295081967,MID,2025Q3,small
SEPN,2025-09-03 11:00:21+00:00,POSITIVE,14.199999809265137,0.008522719191002448,2356397.5377082825,0.6626761216536525,-0.037323925358462295,0.3926805540895131,0001984086,45951000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,918453798.0078793,2025-11-02,0.050030823651301175,120722000.0,97584000.0,110189000.0,-48879000.0,214261000.0,381926000.0,114248000.0,97584000.0,1.2371085423839974,0.13144047121569455,1.7748297741919452,0.41583583281858616,False,False,8.963057314398055,1.1522883385495988,6.372248560252945,True,False,0.5163398692810458,MID,2025Q3,mid
PVLA,2025-09-03 11:31:18+00:00,POSITIVE,53.86000061035156,0.006540876467893808,6145259.874343872,0.41904937688556965,-0.043018962430685925,1.0093879086698703,0001583648,,,,869621428.5737228,2025-11-06,,57982000.0,22841000.0,-25006000.0,-41715000.0,31576000.0,27983000.0,38602000.0,25006000.0,2.318723506358474,0.06667498993797452,0.5445828015591045,0.03217836989814669,False,True,8.939330232776332,1.7312663539969977,6.788540253309879,False,False,0.18892508143322476,LOW,2025Q3,mid
KAPA,2025-09-03 12:15:58+00:00,SILENT,1.409999966621399,-0.03424662343778684,731571.0048079491,0.49645386173429906,-0.24822697313994824,1.5749561033319628,0001962011,,,,22298653.882842064,2025-10-26,,4491000.0,2135000.0,-3441000.0,-5447000.0,992000.0,6341000.0,5572000.0,3441000.0,1.3051438535309503,0.20140229197672097,0.22088621687820084,0.28436694131026224,False,True,7.348278646505599,0.14921910237442781,5.864256484254555,False,False,0.003257328990228013,LOW,2025Q3,small
ROIV,2025-09-03 17:38:54+00:00,POSITIVE,12.579999923706055,-0.0007942993455627434,53383784.12246704,0.3346582684700865,-0.003974577983950622,0.136281610043258,0001635088,8260000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,13568860806.507166,2025-11-04,0.0006087467561048886,1478270000.0,681812000.0,-750349000.0,-299771000.0,251144000.0,4269255000.0,1293563000.0,750349000.0,1.9701099088557459,0.10894577084106219,0.16989048008821123,0.3146362145562441,False,False,10.13254338736381,1.0996806384753837,7.7274093556121795,False,False,0.9772727272727273,HIGH,2025Q3,large
CGEM,2025-09-04 10:01:45+00:00,SILENT,6.880000114440918,-0.004341495460730926,2849311.9466543198,0.08430231308988678,-0.17441864333454438,-0.23477297322815383,0001789972,,,,454282070.17026377,2025-10-29,,88332000.0,187402000.0,-175750000.0,-219879000.0,39644000.0,408730000.0,241648000.0,175750000.0,0.5026002844950214,0.1944430691858329,0.4488067744418784,0.8997273430730142,False,True,8.657325596203178,0.8375884454595024,6.454739999009312,False,False,0.7378640776699029,HIGH,2025Q3,mid
ZURA,2025-09-04 10:32:35+00:00,SILENT,2.0799999237060547,0.004830913423070182,548545.9786891937,1.2355770509271276,-0.09615381529345202,0.6171874839928928,0001855644,,,,249669337.13945532,2025-11-02,,109407000.0,42082000.0,-64815000.0,-68650000.0,12410000.0,101538000.0,75246000.0,64815000.0,1.68798889146031,0.43820759590870234,0.11342967086201065,0.4066899089946513,False,True,8.397365208235053,0.3180633190329346,5.739213035655699,True,False,0.3903225806451613,MID,2025Q3,mid
MBX,2025-09-04 12:09:06+00:00,SILENT,12.9399995803833,0.0015479492237815418,4003584.4435691833,1.0455950673663326,-0.2557959484759378,0.12789176449980433,0001776111,,,,737721266.6038971,2025-11-02,,75289000.0,79159000.0,-79949000.0,-87000000.0,15921000.0,369223000.0,98055000.0,79949000.0,0.9417128419367347,0.10205616051519462,0.21146515427220444,0.5004911973050737,False,True,8.867892303230096,1.1119342622494344,6.602448993075328,True,False,0.4694533762057878,MID,2025Q3,mid
DFTX,2025-09-04 15:15:28+00:00,POSITIVE,9.300000190734863,0.007584035966438973,9504969.657421112,0.3913977758059395,-0.05666671144492219,0.1698351962517335,0001813814,,,,945773154.7101974,2025-10-22,,257837000.0,117665000.0,-131560000.0,-183793000.0,107773000.0,332327000.0,166309000.0,131560000.0,1.959843417452113,0.27262034105737126,0.41798888445025345,0.351381299358017,False,True,8.975786982626449,0.9684829574609348,6.9779507348116026,False,False,0.5961538461538461,MID,2025Q3,mid
CGON,2025-09-05 11:15:26+00:00,POSITIVE,33.810001373291016,0.022376827496088936,14047118.364334106,0.3475006287311342,-0.05116827778667232,0.26317797209063776,0001991792,4040000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,2978992966.401085,2025-11-04,0.0013561629871455237,32490000.0,116641000.0,-132346000.0,-161000000.0,38990000.0,752602000.0,115805000.0,132346000.0,0.24549287473743067,0.010906370161474768,1.2000615574022777,0.2526363803098256,False,False,9.474069477818333,1.5290451884058962,7.147587241904845,False,False,0.6038338658146964,MID,2025Q3,large
ATOS,2025-09-08 08:36:48+00:00,POSITIVE,11.699999809265137,-0.03703702250153407,362087.1031165123,0.6538462134116119,0.0,-0.05813953660298243,0001488039,,,,1705062772.162506,2025-10-30,,41299000.0,21185000.0,-29762000.0,-34770000.0,8255000.0,39353000.0,37141000.0,29762000.0,1.3876419595457294,0.02422139564259038,0.19988377442553087,0.023080088687930923,False,True,9.231740372244627,1.0681858546662386,5.558813056313612,True,False,0.21935483870967742,LOW,2025Q3,large
IDYA,2025-09-08 10:08:13+00:00,POSITIVE,24.059999465942383,0.02864472397508755,21680768.43032837,0.1807980248556229,-0.022194530697492665,0.04982040703743129,0001676725,218710000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,2769540511.033413,2025-10-30,0.07896977824613644,112825000.0,314704000.0,-71098000.0,-113698000.0,86390000.0,1022934000.0,378023000.0,71098000.0,1.5868941461081887,0.0407378045385229,0.7656990915134058,0.36935152092009205,False,False,9.442407722105772,1.381295613363831,7.3360746708154805,False,False,0.44694533762057875,MID,2025Q3,large
RAPP,2025-09-08 10:12:16+00:00,POSITIVE,31.920000076293945,0.014299357253194867,2447117.0092582703,0.03380327288356755,-0.3088972614907447,1.8249549679966943,0002012593,,,,1055884836.7382812,2025-11-02,,52645000.0,94789000.0,-87473000.0,-111483000.0,27778000.0,484653000.0,125099000.0,87473000.0,0.6018428543664902,0.049858657088612916,0.5276474499002755,0.45900176149620125,False,True,9.0236165531443,1.5040628837167256,6.388654735702537,False,True,0.4967948717948718,MID,2025Q3,mid
VSTM,2025-09-08 11:01:09+00:00,POSITIVE,10.15999984741211,-0.006842590220577538,26440591.16973877,0.044291320474749485,-0.1781495564100244,0.7397958066551868,0001526119,30914000.0,Revenues,CY2025,502209393.8089371,2025-11-05,0.06155599712211092,204990000.0,114599000.0,-137509000.0,-209471000.0,189245000.0,57197000.0,201043000.0,137509000.0,1.4907387880066032,0.4081763553749601,0.9231913751890336,0.11389074100386162,False,False,8.700884831915793,1.0068937014254518,7.422271161058884,False,False,0.625,MID,2025Q3,mid
