ticker,cik,entity,revenue,concept,period,market_cap,as_of,rev_per_cap
NIQ,0002054696,NIQ Global Intelligence plc,4198400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3631450123.7869263,2025-11-09,1.1561221707271723
NIXX,0001462223,"NIXXY, INC.",97906000.0,Revenues,CY2025,28541638.909340978,2025-11-11,3.4302865476991853
NJR,0000356309,NEW JERSEY RESOURCES CORPORATION,1351305000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,4497207970.422989,2025-10-30,0.300476430907175
NKE,0000320187,"NIKE, Inc.",46398000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,55080362702.29652,2015-10-15,0.8423691806601972
NKLR,0002067627,,,,,,,
NKSH,0000796534,"NATIONAL BANKSHARES, INC.",8176000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,190980030.0,2025-11-11,0.04281075880027875
NKTR,0000906709,NEKTAR THERAPEUTICS,55232000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1134077528.3040276,2025-10-29,0.04870213774767011
NKTX,0001787400,"Nkarta, Inc.",0.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,139918290.6720276,2025-11-06,0.0
NL,0000072162,"NL INDUSTRIES, INC.",158285000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,282426612.7718096,2025-10-30,0.560446476507823
NLCP,0001854964,"NewLake Capital Partners, Inc.",51071000.0,Revenues,CY2025,266773153.9517517,2025-11-03,0.19143980285676213
NLOP,0001952976,Net Lease Office Properties,118915000.0,Revenues,CY2025,430348867.4477577,2025-10-30,0.27632232589629324
NLST,0001282631,NETLIST INC,188630000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,184252586.98542094,2025-11-05,1.0237576746476045
NLY,0001043219,,,,,13412969901.137833,2025-10-23,
NMAD,0001335105,,,,,20206837.306990147,2025-11-03,
NMEX,0001415744,NORTHERN MINERALS & EXPLORATION LTD.,8634.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,6434335.776181385,2025-09-14,0.0013418634495205128
NMFC,0001496099,,,,,1028510500.9846973,2025-11-02,
NMG,0001649752,,,,,229914393.93792415,2025-03-31,
NMHI,0001947861,NATURE’S MIRACLE HOLDING INC.,1742360.0,Revenues,CY2025,3506328.2949281037,2025-11-12,0.4969186720251837
NMIH,0001547903,"NMI Holdings, Inc.",706440000.0,Revenues,CY2025,2873345475.821228,2025-10-22,0.24585974987852552
NMM,0001415921,Navios Maritime Partners L.P.,1344143000.0,Revenues,CY2025,1164615698.5080872,2025-03-31,1.1541515383331116
NMPGY,0001333172,,,,,490768675.0,2023-03-31,
NMR,0001163653,,,,,19510992087.073753,2025-06-29,
NMRA,0001885522,,,,,474500111.9210236,2025-10-30,
NMTC,0001500198,NeuroOne Medical Technologies Corporation,9097692.0,Revenues,CY2025,212097964.74779177,2025-11-10,0.04289382036653758
NN,0001865631,NextNav Inc.,4573000.0,Revenues,CY2025,1777293120.235281,2025-11-02,0.00257301395472381
NNAX,0001132509,NEW MOMENTUM CORPORATION,6.0,Revenues,CY2024,412930.9486131667,2025-11-10,1.4530274420338482e-05
NNBR,0000918541,"NN, Inc.",422207000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,90034334.56126404,2025-10-23,4.689399905684963
NNDM,0001643303,NANO DIMENSION LTD.,102437000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,343084968.15232456,2025-03-31,0.2985761823132966
NNE,0001923891,,,,,1629130780.8294144,2025-11-09,
NNN,0000751364,"NNN REIT, INC.",926213000.0,Revenues,CY2025,7851438833.90583,2025-10-28,0.11796729486068476
NNOX,0001795251,NANO-X IMAGING LTD,13021000.0,Revenues,CY2025,318491187.6980181,2025-03-31,0.04088339176387525
NNUP,0000888981,"Nocopi Technologies, Inc.",1493800.0,Revenues,CY2025,16189369.5,2025-11-04,0.09227042473766504
NNVC,0001379006,"NANOVIRICIDES, INC.",0.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,20742890.99740982,2025-12-26,0.0
NOA,0001368519,,,,,437453264.4431591,2025-03-31,
NOAH,0001499543,Noah Holdings Ltd,373259000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3167199178.62457,2025-03-31,0.11785144506197316
NOBH,0000072205,"NOBILITY HOMES, INC.",52667970.0,Revenues,CY2025,101861977.18119049,2025-12-08,0.5170523040831521
NOC,0001133421,NORTHROP GRUMMAN CORP /DE/,41954000000.0,Revenues,CY2025,87188412180.55652,2025-10-15,0.4811877972168871
NODK,0001681206,"NI Holdings, Inc.",285050000.0,Revenues,CY2025,273121202.5587015,2025-10-29,1.0436758381610254
NOEM,0001956648,,,,,98158077.80599594,2025-11-10,
NOG,0001104485,"NORTHERN OIL AND GAS, INC.",2475723000.0,Revenues,CY2025,2103165322.6411667,2025-10-26,1.1771414131586067
NOK,0000924613,,,,,29542831211.22689,2025-03-31,
NOMA,0001994214,NOMADAR CORP.,921940.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,,,
NOMD,0001651717,,,,,3067185300.156063,2025-03-31,
NORD,0001011060,NORDICUS PARTNERS CORPORATION,5000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2024,87546101.60388708,2025-11-17,5.71127658273478e-05
NOTE,0001823466,"FISCALNOTE HOLDINGS, INC.",95407000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,7243242320.793167,2022-10-31,0.013171863617777254
NOTVQ,0000720154,"INOTIV, INC.",513024000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,,,
NOV,0001021860,NOV INC.,8744000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,5228815468.627119,2025-10-23,1.6722716746199937
NOVT,0001076930,NOVANTA INC.,980600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,4628007408.584381,2025-10-26,0.21188384404508695
NOW,0001373715,"SERVICENOW, INC.",13278000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,32152640380.859375,2025-12-29,0.4129676394447673
NPB,0001336706,,,,,560143915.4818459,2025-11-11,
NPCE,0001528287,"NEUROPACE, INC.",99986000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,422781535.606287,2025-11-06,0.23649566402330166
NPHC,0001119643,NUTRA PHARMA CORP.,257612.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,911622.2426504845,2023-02-19,0.28258634766414786
NPK,0000080172,NATIONAL PRESTO INDUSTRIES INC,503524000.0,Revenues,CY2025,765285590.7055893,2025-11-06,0.6579556783968107
NPKI,0000071829,NPK International Inc.,277043000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1038523037.9042721,2025-11-02,0.26676634979525315
NPLY,0001978111,NAPLOY CORP.,7950.0,Revenues,CY2025,,,
NPO,0001164863,ENPRO INC.,1143300000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,4880625306.040527,2025-10-21,0.23425277055892607
NPT,0002014337,Texxon Holding Limited,797148640.0,Revenues,CY2025,,,
NRC,0000070487,National Research Corporation,137390000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,310204299.25098324,2025-10-29,0.4429016629741779
NRDE,0001759546,,,,,30904887.629221916,2025-11-04,
NREF,0001786248,,,,,236940838.33189774,2025-11-04,
NRG,0001013871,"NRG Energy, Inc",30347000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,34527398157.0,2025-10-29,0.8789251904243912
NRGV,0001828536,"ENERGY VAULT HOLDINGS, INC.",203671000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,516318757.5914407,2025-11-04,0.39446755905227715
NRHI,0001680689,,,,,254899.03389806673,2025-11-25,
NRIM,0001163370,"NORTHRIM BANCORP, INC.",255581000.0,Revenues,CY2025,124536136.63653946,2025-10-26,2.052263759762493
NRIS,0001603793,"Norris Industries, Inc.",286086.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,15046150.477153301,2025-12-14,0.019013899962944333
NRIX,0001549595,"NURIX THERAPEUTICS, INC.",83980000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1488463367.8859253,2025-12-29,0.05642060248971889
NROM,0000709005,"NOBLE ROMAN’S, INC.",16461459.0,Revenues,CY2025,3776637.079724431,2025-11-16,4.358761155096517
